Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy
0.763496,-1.97848,4008.51,-0.0132468,1012.26,0.994245,0.111237,0.0117554,1011.51,0.00872076,0.993461,0,31.8158,30.3191,639,-0.00803517,0.988519,-0.977073,858.488
0.77212,-1.97995,4014.45,-0.0135798,1013.12,0.994667,0.105161,0.0107236,1012.27,0.00815873,0.993798,0,31.8293,30.4951,638,-0.00656627,0.989375,-0.978765,875.968
0.781074,-1.98151,4020.78,-0.00971584,1013.99,0.995092,0.0984828,0.00987299,1013.31,0.00740292,0.994425,0,31.843,30.6844,638,-0.00612472,0.990252,-0.980503,894.13
0.790401,-1.98284,4026.15,-0.0135636,1014.72,0.995452,0.0942752,0.00930958,1014.21,0.00681302,0.99492,0,31.8544,30.6909,636,0.0108259,0.990874,-0.981734,913.06
0.800083,-1.98439,4032.46,0.000326134,1015.59,0.995878,0.0885534,0.0084415,1015,0.00596076,0.99533,0,31.8681,30.8872,633,0.00457497,0.991735,-0.98344,932.726
0.810162,-1.98551,4036.99,-0.00595642,1016.2,0.996177,0.08338,0.0079424,1015.66,0.00565297,0.995631,0,31.8777,30.9789,630,0.00603746,0.992367,-0.984695,953.215
0.820667,-1.98684,4042.4,-0.00985044,1016.94,0.99654,0.0783841,0.00720011,1016.47,0.00486824,0.996094,0,31.8893,30.9018,625,-0.00626515,0.993095,-0.98614,974.58
0.831627,-1.98786,4046.53,-0.0084048,1017.49,0.996811,0.0723373,0.00652952,1017.05,0.00455581,0.996368,0,31.898,30.9553,625,0.000529048,0.993674,-0.98729,996.886
0.84312,-1.9889,4050.75,-0.00510058,1018.06,0.997091,0.0677916,0.00605405,1017.71,0.00403194,0.99671,0,31.9069,30.9471,620,0.0106205,0.9942,-0.988335,1020.29
0.855163,-1.99006,4055.49,-0.00895155,1018.7,0.997408,0.0608312,0.00521106,1018.3,0.00361657,0.99702,0,31.917,30.8669,620,-0.00190935,0.994807,-0.989543,1044.82
0.867906,-1.9911,4059.71,-0.0206328,1019.26,0.997682,0.0575527,0.00482035,1018.96,0.00324968,0.997384,0,31.9258,30.7279,619,-0.0115776,0.995383,-0.990688,1070.8
0.881305,-1.99198,4063.27,-0.0159976,1019.74,0.997914,0.0545519,0.00445738,1019.37,0.00305622,0.997541,0,31.9332,30.847,617,-0.0131928,0.995789,-0.991497,1098.12
0.895344,-1.99286,4066.89,-0.0233212,1020.21,0.998147,0.0486172,0.00390569,1019.79,0.00272858,0.997727,0,31.9407,30.9196,612,-0.000560079,0.996243,-0.992403,1126.76
0.910228,-1.99375,4070.5,-0.0159371,1020.71,0.998389,0.0437521,0.00334406,1020.37,0.00237387,0.99807,0,31.9485,31.1533,609,0.000718992,0.996777,-0.993466,1157.15
0.926083,-1.99438,4073.08,0.000881832,1021.03,0.998549,0.0404107,0.0030713,1020.7,0.00212598,0.998205,0,31.9536,31.1233,605,-0.0105291,0.997078,-0.994067,1189.52
0.942926,-1.99528,4076.74,-0.00403057,1021.52,0.998788,0.0347863,0.00254473,1021.31,0.00172431,0.998606,0,31.9612,31.1554,605,0.00954701,0.997575,-0.995057,1223.93
0.96107,-1.99587,4079.14,-0.00128418,1021.84,0.998942,0.031811,0.00226007,1021.74,0.00133343,0.998851,0,31.9662,31.3384,605,0.000109566,0.997894,-0.995695,1261
